Character,Line
JOFFREY,How many bastards does he have running around?Shots of gold cloaks murdering people.INT. BLACKSMITHA gold cloak holds the blacksmiths face near some hot coals.
JANOS,Where is the bastard?
BLACKSMITH,The Nights Watch! Heading North!Shot of Gendry
JAQEN,Boy.Arya looks up at the cage.
JAQEN,Lovely boy.
ARYA,. What do you want?
JAQEN,A man has a thirst. The man does not drink for a day and a night. A boy could make a friend.
ARYA,. I have friends.
RORGE,Give us a beer. Before I skin you.
JAQEN,A man does not choose his companions. These two
RORGE,Hey
ARYA,You should have asked nicely.Arya begins hitting the cage with a stick
RORGE,Come closer. And I'll shove that stick up your bunghole and fuck you bloody.
JAQEN,The boy has more courage than sense.
RORGE,Come here!Rorge reaches out at Arya. Gendry walks past holding wood. Arya joins him.
GENDRY,Yoren said none of us were should go near of those three.
RORGE,Come here!
ARYA,They don't scare me.
GENDRY,Hmm? Then you're stupid. They scare me.Two gold cloaks ride in on horseback. Gendry puts down the wood he was carrying.
ARYA,What are gold cloaks doing this far from King's Landing?Arya attempts to hide under some wood.
GENDRY,What are you doing?
ARYA,They're looking for me.
GOLD CLOAK,You're in command here?
YOREN,You're a long way from home.
GOLD CLOAK,I asked you a question.
YOREN,Aye
GOLD CLOAK,. I have a royal warrant. For one of these gutter rats you're transporting.Gendry looks at Arya. Arya looks back
YOREN,Well the thing is
YOREN,It's a funny thing. People worry so much about their throats
YOREN,We'll just keep that. Good steel is always needed on the wall. Seems you have a choice. You can die here at this crossroads a long way from home. Or you can go back to your city and tell your masters you didn't find what you were looking for.
GOLD CLOAK,We're looking for a boy named Gendry.  And I'll be taking your head home along with that bastard boy.The gold cloaks ride off. Gendry and Arya stands up. Everyone in the party turns to look at Gendry.CUT TO: KINGS LANDINGINT. RED KEEPTyrion walks through a room and into a hallway
VARYS,My lord.
SHAE,You make me wait a long time
VARYS,We were just speaking of your bravery in the victory against the Stark auxiliary forces.
TYRION,It was quite a battle.Tyrion walks over to the window to get some wine.
VARYS,I heard you suffered a terrible head wound. The northerners are such fearsome warriors.
SHAE,And I tell him the story of how we meet.VARYS: To find so lovely creature working in your father's kitchen. It almost beggars belief.
TYRION,. Strange things do happen. You should taste her fish pie.
SHAE,I don't think Lord Varys likes fish pie.
VARYS,How can you tell?
SHAE,I can always tell.
TYRION,Men like Lord Varys and I can't let our disadvantages get the best of us. We'll make a fisherman of him yet. .
VARYS,I am glad your new friend was able to accompany you to the capital. Friends are such an important part of life. Unfortunate that your father didn't want her to come. But rest easy my lord
TYRION,Your discretion is legendary
VARYS,How unspeakable of me to go on and on
TYRION,I don't like threats.
VARYS,Who threatened you?
TYRION,I'm not Ned Stark. I understand the way this game is played.
VARYS,Ned Stark was a man of honor.TYRION: And I am not. Threaten me again and I will have you thrown into the sea.
VARYS,You might be disappointed in the results. The storms come and go. The big fish eat the little fish. And I keep on paddling. Come
CERSEI,<93>From this time until the end of time
TYRION,You've perfected the art of tearing up papers. Give him his father's bones back
CERSEI,You'll give the Starks our reply
ALTON,I will
CERSEI,Did you see my brother when you were the Starks guest?Varys and Baelish look annoyed.
ALTON,I did. They have not broken his spirit
CERSEI,If you speak with him
ALTON,I will
TYRION,Safe travels
TYRION,You have a deft hand with diplomacy.
CERSEI,If that's everything?
PYCELLE,. A raven flew in this morning from Castle Black.Pycelle hands the letter to Tyrion
VARYS,Trouble with the wildlings?
BAELISH,That's why they're called wildlings.
VARYS,Somewhat less wild these days. It seems they've stopped killing each other and started following this King-Beyond-the-Wall.CERSEI: Another king? How many is that now
TYRION,Lord Commander asks that we send more men to man The Wall.
CERSEI,Perhaps he's forgotten we're fighting a war. We have no men to spare.
TYRION,Cold winds are rising
PYCELLE,The northerners are a superstitious people.Everyone but Tyrion stands up to leave.
TYRION,According to the Commander
VARYS,How do you kill a dead man?
TYRION,Apparently you burn him.
CERSEI,One trip to The Wall and you come back believing in grumpkins and snarks. (Walks away
TYRION,I don't know what I believe
CERSEI,I have every confidence the brave men of the Night's Watch will protect us all.Everyone but Tyrion leaves.CUT TO: BEYOND THE WALLINT. CRASTERS CAMPSam
EDD,Then I said
GRENN,We fart when we die?
EDD,My blessed mother was holding her own when she left this world. She farted so hard
SAM,Seems a bit greedy for one man to have so many wives. Wouldn't two
EDD,We were having a serious discussion.Grenn looks up to watch some of the women.
GRENN,Would you look at that.
SAM,Nothing like the sight of a woman walking away.
GRENN,I prefer watching them come towards me.
SAM,I'm sure that's nice too.
GRENN,Well
SAM,You were with her? How many times?
GRENN,Well
SAM,Wish I'd grew up on a farm.
EDD,We need more potatoes. And get another sack for the sludge. . Get the turnips too.As Sam continues walking
SAME,No. Ghost
GILLY,You shouldn't touch me.
SAM,Oh
GILLY,You're very brave.The camera moves to a shot of Jon sharpening his sword. He stops and looks up as Sam and Gilly approach him.
JON,Whatre you doing?
SAM,This is Gilly
JON,Hello
GILLY,Sam said you could help.
JON,I'm sorry
SAM,She's pregnant. . We have to take her with us
JON,What? .
SAM,I know it sounds a bit mad.
JON,No it doesn't sound a bit mad
SAM,The Lord Commander
JON,Sam we can't take her -
GILLY,Please sir
JON,It's just not possible.
GILLY,I'm going to have a baby
JON,If it's a boy what? (Gilly looks around and then down
SAM,Why did you do that?
JON,Do what
SAM,You were cruel.
JON,Cruel! Sam are you in such a hurry to lose a hand?
SAM,I didn't touch her!
JON,No you just want to steal her. What do you think Craster cuts off for that?
SAM,I can't steal her
JON,We're heading deeper and deeper into wildling territory. We can't take a girl with us. Mormont wouldn't have it. And even if he would
SAM,I could try. (Jon looks down
JON,I'm sorry Sam
JORAH,Khaleesi.Daenerys looks up at the horse. Jorah gets up. The horse is covered in red paint. Jorah walks over to it. A soaking wet sack is attached to it. Some hair can be seen poking out of the top. Flies can be heard buzzing. Jorah feels the hair
JORAH,You don't need to see this.
DAENERYS,He is blood of my blood.Daenerys looks in the sack
DAENERYS,Who did this?
JORAH,Khal Pono perhaps
DAENERYS,They will like it far less when I'm done with them.Irri walks over and sees the head. She then falls to her knees
IRRI,No! (Speaking Dothraki
DAENERYS,Shh. They cannot kill his soul.
IRRI,. He can never join his ancestors in the night lands.
DAENERYS,Shh. We will build him a funeral pyre.Daenerys looks up at Jorah. Jorah looks down. Daenerys addresses Irri again
DAENERYS,And I promise you
WOMAN,Is it as you remember my lord?
THEON,. Looks smaller.
WOMAN,Everything looks bigger when you're a child. I remember my father's cabin
THEON,. They'll be waiting for me on the docks.
WOMAN,Who will?
THEON,Anyone who matters
WOMAN,I love the cold and wet.
THEON,They say hard places breed hard men
WOMAN,Then you'll be king before long.
THEON,. Hmm
WOMAN,My father doesn't trust you Iron islanders.
THEON,. I don't blame him.
WOMAN,He says that you're all reavers and rapers. And that no matter how many women you have
THEON,Quit talking about your father. He's right about us. Our wives from the Iron Islands
WOMAN,Capture me! Take me with you when you go ashore. Make me your saltwife.
THEON,Your place is on this ship.
WOMAN,Not after you leave. Father will punish me. He'll call me a whore.
THEON,I haven't paid you.Theon flips her over
MAN,I barely touched her. And you charge twice as much as every other brothel. And this is what I get
BAELISH,One moment
BAELISH,Please accept my sincerest apologies. Ramka will take good care of you.Upon seeing Ramka
ROZ,Im sorry
BAELISH,Shhh. Did he hurt you?
ROZ,No
BAELISH,Who?
ROZ,She works for you. She's the one
BAELISH,Ah
ROZ,Can't stop thinking about it
BAELISH,You know
PODRICK,More wine?The scene begins zoomed in on Podrick pouring Janos a glass of wine. He then spills
JANOS,Damn it
PODRICK,Apologies
TYRION,Leave us
JANOS,. Is that your new squire? Could have found you a proper lad.
TYRION,Myself
JANOS,Hmm
TYRION,You know your wines
JANOS,That I do. A fine dinner
TYRION,Call me Tyrion
JANOS,Maybe I'll hire this cook of yours.
TYRION,I heard there was some trouble in Littlefinger's brothel the other night.
JANOS,Hmm. Nasty business
TYRION,Yes
JANOS,Orders are orders.
TYRION,Quite right. Especially the queen's orders.
JANOS,I never said they were the queen's orders.
TYRION,No
JANOS,You know your sister better than I do.
TYRION,You've heard the awful rumors about my brother and sister.
JANOS,I don't listen to filth.
TYRION,That's good of you
JANOS,Joffrey is my king
TYRION,I appreciate your loyalty. Tell me.
JANOS,I did. And I would again. The man was a traitor. He tried to buy my loyalty.
TYRION,The fool! He had no idea you were already bought.
JANOS,Are you drunk? I'll not have my honor questioned by an Imp.
TYRION,I'm not questioning your honor
JANOS,You think I'll stand here and take this from you
TYRION,Dwarf? You should have stopped at imp. And yes
TYRION,I intend to serve as Hand of the King until my father returns from the war
JANOS,What are you ta- My friends at court will not allow this. The queen herself -
TYRION,The queen regent. And you're a fool to believe she's your friend.
JANOS,We shall hear what Joffrey has to say about this.
TYRION,No
TYRION,There's a ship leaving for East Watch by the sea tonight. From there
BRONN,The lads will escort you. The streets aren't safe at night
JANOS,These men are under my command. . I command you to arrest this cutthroat.
